category,product_name,product_url,price,old_price,discount,rating,reviews_count,normalized_price,review_density
laptops,500W Peak Car Power Inverter DC 12V to AC 110V LCD Display Dual AC Outlets 4 USB Car Charger for Car Home Laptop Truck,https://www.banggood.com/500W-Peak-Car-Power-Inverter-DC-12V-to-AC-110V-LCD-Display-Dual-AC-Outlets-4-USB-Car-Charger-for-Car-Home-Laptop-Truck-p-2028919.html?cur_warehouse=CN&ID=6287830&rmmds=search,23.22,£27.86,17% Off,5.0,0,0.026988458839937057,
laptops,5Pcs DC-DC 8.5-48V To 10-50V 10A 250W Continuous Adjustable High Power Boost Power Module Constant Voltage Constant Current Non-Isolation Step Up Board For Vehicle Laptop Power LED Driver,https://www.banggood.com/5Pcs-DC-DC-8_5-48V-To-10-50V-10A-250W-Continuous-Adjustable-High-Power-Boost-Power-Module-Constant-Voltage-Constant-Current-Non-Isolation-Step-Up-Board-For-Vehicle-Laptop-Power-LED-Driver-p-2029198.html?cur_warehouse=CN&rmmds=search,17.02,,,5.0,0,-0.22917613917959315,
laptops,ORICO PUG-LGC6 2M Retractable Ethernet Cable Portable LAN Internet Network Cable 1000Mbps CAT-6 Network Cables for Laptop Router,https://www.banggood.com/ORICO-PUG-LGC6-2M-Retractable-Ethernet-Cable-Portable-LAN-Internet-Network-Cable-1000Mbps-CAT-6-Network-Cables-for-Laptop-Router-p-2029290.html?cur_warehouse=CN&rmmds=search,6.96,£10.83,36% Off,5.0,1,-0.644823857901605,3.4657359027997265
laptops,Lenovo ThinkPlus MU242 USB3.0 Flash Drive 32G 64G 128G 256GB Metal Interface 360° Rotation Fast Data Transmission Portable Memory U Disk for PC Laptop Computer,https://www.banggood.com/Lenovo-ThinkPlus-MU242-USB3_0-Flash-Drive-32G-64G-128G-256GB-Metal-Interface-360-Rotation-Fast-Data-Transmission-Portable-Memory-U-Disk-for-PC-Laptop-Computer-p-2029675.html?cur_warehouse=CN&ID=43653&rmmds=search,7.73,£12.38,38% Off,4.83,6,-0.6130098675024054,9.398746019937162
laptops,Essager ES-OTG22 Ethernet Adapter 1000/100Mbps RJ45 To Type-C Connector Extender Extension for PC Tablet Laptop Projector Gigabit Adapter,https://www.banggood.com/Essager-ES-OTG22-Ethernet-Adapter-1000-or-100Mbps-RJ45-To-Type-C-Connector-Extender-Extension-for-PC-Tablet-Laptop-Projector-Gigabit-Adapter-p-2031688.html?cur_warehouse=CN&ID=520971&rmmds=search,6.65,£9.28,28% Off,5.0,4,-0.6576320878025815,8.047189562170502
laptops,20-in-1 Multifunctional Digital Cleaning Tool Set Mobile Phone Headphones Laptop Keyboard Cleaning Brush Dust Removal Key Remover Multifunctional Cleaning Set,https://www.banggood.com/20-in-1-Multifunctional-Digital-Cleaning-Tool-Set-Mobile-Phone-Headphones-Laptop-Keyboard-Cleaning-Brush-Dust-Removal-Key-Remover-Multifunctional-Cleaning-Set-p-2016916.html?cur_warehouse=CN&ID=6287845&rmmds=search,11.6,£15.48,25% Off,5.0,1,-0.45311357809344055,3.4657359027997265
laptops,Baseus 6-in-1 Type-C Hub Steam Deck Docking Station with USB3.0*3 / PD100W Type-C / 1000M RJ45 / 4K@60Hz HD Multi-ports Splitter Adapter for Steam Deck Phone Laptop XIAOMi HUAWEI,https://www.banggood.com/Baseus-6-in-1-Type-C-Hub-Steam-Deck-Docking-Station-with-USB3_0+3-or-PD100W-Type-C-or-1000M-RJ45-or-4K-at-60Hz-HD-Multi-ports-Splitter-Adapter-for-Steam-Deck-Phone-Laptop-XIAOMi-HUAWEI-p-2017854.html?cur_warehouse=CN&ID=6290825&rmmds=search,37.93,£51.09,26% Off,5.0,0,0.6347596260765968,
laptops,AWEI A11 Type-C Male to iP Female / iP Male to Type-C Female Adapter Converter for Phone Laptop Computer,https://www.banggood.com/AWEI-A11-Type-C-Male-to-iP-Female-or-iP-Male-to-Type-C-Female-Adapter-Converter-for-Phone-Laptop-Computer-p-2018897.html?cur_warehouse=CN&ID=6327652&rmmds=search,6.19,£13.15,53% Off,5.0,0,-0.6766378483008048,
laptops,"21-in-1 Upgraded Electronic Keyboard Cleaning Kit with Mini Vacuum for Laptop, iPad, Phone, Camera, Earbud Cleaning Multifunctional Computer Screen Cleaning Brush Tools","https://www.banggood.com/21-in-1-Upgraded-Electronic-Keyboard-Cleaning-Kit-with-Mini-Vacuum-for-Laptop,iPad,Phone,Camera,Earbud-Cleaning-Multifunctional-Computer-Screen-Cleaning-Brush-Tools-p-2019053.html?cur_warehouse=CN&ID=6287845&rmmds=search",14.7,£20.12,27% Off,5.0,3,-0.3250312790836754,6.931471805599453
laptops,UGREEN CR106 USB2.0 Hub 4-Port HUB Docking Station for Desktop PC Laptop 4-in-1 Multi-Interface Converter Extension Cable USB Hub,https://www.banggood.com/UGREEN-CR106-USB2_0-Hub-4-Port-HUB-Docking-Station-for-Desktop-PC-Laptop-4-in-1-Multi-Interface-Converter-Extension-Cable-USB-Hub-p-2019675.html?cur_warehouse=CN&ID=45763&rmmds=search,7.73,£13.15,41% Off,5.0,1,-0.6130098675024054,3.4657359027997265
laptops,RGB bluetooth Keyboard and Mouse Kit for Phone Tablet Laptop Portable Rechargeable Keyboard Mouse Combo with Silent Click,https://www.banggood.com/RGB-bluetooth-Keyboard-and-Mouse-Kit-for-Phone-Tablet-Laptop-Portable-Rechargeable-Keyboard-Mouse-Combo-with-Silent-Click-p-2020077.html?cur_warehouse=CN&ID=6287830&rmmds=search,14.7,,,5.0,2,-0.3250312790836754,5.493061443340549
